champion,role,mean_abs_shap,mean_signed_shap,n_drafted
Sett,Fighter,0.8425487,-0.18455908,5
Fizz,Assassin,0.71191394,-0.71191394,9
Yuumi,Support,0.64401543,0.64401543,8
Lillia,Fighter,0.58470696,-0.24941663,11
Twitch,Marksman,0.54807293,-0.54807293,21
Teemo,Marksman,0.44689047,0.44689047,18
Amumu,Tank,0.44578424,-0.44578424,9
Zeri,Marksman,0.42306682,-0.40505594,14
Qiyana,Assassin,0.38833615,0.38833615,40
Thresh,Support,0.38395137,0.38395137,38
Vayne,Marksman,0.38058567,0.38058567,22
Kayle,Mage,0.37387487,0.029809393,24
Kennen,Mage,0.35648394,-0.35648394,10
Sivir,Marksman,0.32858855,-0.054505493,26
Graves,Marksman,0.32674885,0.32674885,27
Viktor,Mage,0.324762,-0.20024587,18
Taric,Support,0.30894315,0.30894315,11
Akshan,Marksman,0.2989945,-0.2989945,15
Kayn,Fighter,0.29657686,-0.29657686,12
Kindred,Marksman,0.2915227,-0.2915227,12
Mordekaiser,Fighter,0.28529906,-0.28529906,6
Soraka,Support,0.27319267,-0.27319267,13
Bard,Support,0.26065975,0.107091814,42
Ashe,Marksman,0.25306964,0.25237203,34
Nautilus,Tank,0.2507914,-0.2506769,59
Jax,Fighter,0.23611596,0.23611596,36
Malzahar,Mage,0.22659631,0.1864678,14
Zac,Tank,0.22625586,0.22625586,16
Draven,Marksman,0.2247187,0.18790103,24
Rengar,Assassin,0.22385909,0.22385909,14
Skarner,Tank,0.21998592,0.21998592,5
AurelionSol,Mage,0.21413237,-0.16031262,13
Aphelios,Marksman,0.2120733,0.20792219,29
Fiddlesticks,Mage,0.21077588,0.21077588,8
Warwick,Fighter,0.20774814,0.20774814,7
Shaco,Assassin,0.20759682,-0.17625815,22
Ryze,Mage,0.20677593,0.20677593,29
Renekton,Fighter,0.1972322,-0.1972322,35
Nasus,Fighter,0.19699311,0.118196726,7
Malphite,Tank,0.19639139,-0.19639139,28
Aurora,Mage,0.19591144,-0.19574788,29
RekSai,Fighter,0.19493231,0.1889959,22
Olaf,Fighter,0.19352642,0.19352642,7
Quinn,Marksman,0.1890449,0.17897597,17
Volibear,Fighter,0.18866168,-0.18866168,10
Senna,Support,0.1865694,-0.09030324,34
Corki,Marksman,0.18498379,-0.18498379,39
Zed,Assassin,0.18070441,-0.18070441,59
Anivia,Mage,0.17996183,-0.17996183,13
Ambessa,Fighter,0.17847468,-0.17847468,73
Veigar,Mage,0.1780771,-0.1780771,21
Elise,Assassin,0.17573097,-0.17497273,20
Karma,Mage,0.17444102,-0.07824239,49
Yasuo,Fighter,0.17041677,0.17041677,33
Gnar,Fighter,0.16363944,-0.16363944,9
Aatrox,Fighter,0.16288038,-0.16228133,34
Blitzcrank,Tank,0.161103,-0.120779164,28
Vladimir,Mage,0.15883885,-0.0655301,28
Kaisa,Marksman,0.15704165,0.15511878,77
Briar,Fighter,0.15491602,-0.15491602,5
Shen,Tank,0.15397306,0.15397306,18
Garen,Fighter,0.1535507,0.1535507,21
Smolder,Marksman,0.15154481,0.13286293,39
Seraphine,Support,0.14792748,0.14792748,21
KSante,Tank,0.14604501,-0.1249214,25
Hecarim,Fighter,0.14466393,0.14466393,19
Yunara,Marksman,0.14245199,-0.11421744,48
Caitlyn,Marksman,0.14055064,-0.14055064,35
Naafiri,Assassin,0.13974498,0.050011735,27
Lux,Mage,0.1353473,-0.1353473,19
Swain,Mage,0.13503361,-0.13503361,13
Syndra,Mage,0.13501099,0.06852593,53
Ivern,Support,0.13473746,0.06759277,19
Chogath,Tank,0.12684904,0.12684904,11
Fiora,Fighter,0.12631963,0.12631963,11
Udyr,Fighter,0.12579769,0.04611399,9
Milio,Support,0.12529552,-0.12529552,30
Hwei,Mage,0.123761475,-0.12357298,21
Nidalee,Assassin,0.12044144,0.12044144,34
Vi,Fighter,0.116845116,0.116845116,7
LeeSin,Fighter,0.11568897,0.11568897,53
Talon,Assassin,0.108116776,-0.108116776,29
Leona,Tank,0.10687339,0.038483515,26
Samira,Marksman,0.10569579,0.10569579,6
Rakan,Support,0.10123956,0.10123956,34
KogMaw,Marksman,0.10076011,0.021403175,16
Pantheon,Fighter,0.095822945,-0.095822945,23
Poppy,Tank,0.094507724,0.06101072,25
Irelia,Fighter,0.09324908,0.05502559,20
Lucian,Marksman,0.09284303,0.03724335,36
Rumble,Fighter,0.09250527,0.09250527,20
Gwen,Fighter,0.0919535,0.029442117,19
Nilah,Fighter,0.08755087,-0.08755087,7
Janna,Support,0.08450224,-0.061616015,30
Gangplank,Fighter,0.083606414,-0.055892896,23
Kled,Fighter,0.07924456,-0.07924456,6
Nunu,Tank,0.07813532,0.07813532,23
Zilean,Support,0.0760465,-0.0760465,9
Jhin,Marksman,0.07590586,-0.073982544,45
Gragas,Fighter,0.074303634,0.074303634,13
Orianna,Mage,0.073357366,0.05992647,40
Tryndamere,Fighter,0.073221914,0.073221914,6
Sylas,Mage,0.07146561,-0.031936202,66
Jinx,Marksman,0.07143758,-0.0539702,41
Karthus,Mage,0.07032377,0.07032377,17
Morgana,Support,0.06917315,-0.025971554,11
Tristana,Marksman,0.06850961,-0.061203875,41
MissFortune,Marksman,0.06604843,0.018061249,39
Azir,Mage,0.06584793,0.06584793,12
DrMundo,Tank,0.065660425,0.065660425,16
Belveth,Fighter,0.06547285,-0.05442332,10
Diana,Fighter,0.06273589,0.04065952,30
Camille,Fighter,0.060558543,0.015933316,15
Ahri,Mage,0.059969913,0.031103604,24
Trundle,Fighter,0.05824088,0.05824088,5
Akali,Assassin,0.058006383,0.036959976,42
Neeko,Mage,0.056186747,0.020787232,29
Varus,Marksman,0.05424761,0.05049783,20
Velkoz,Mage,0.053131834,-0.0008638931,17
Cassiopeia,Mage,0.052947707,-0.051262714,10
Ornn,Tank,0.05248058,0.05248058,24
Mel,Mage,0.052463394,-0.034850575,42
Jayce,Fighter,0.050638016,-0.0463671,64
XinZhao,Fighter,0.049698066,-0.039857816,25
Ziggs,Mage,0.049420975,-0.049420975,11
MonkeyKing,Fighter,0.048652615,-0.048652615,13
Katarina,Assassin,0.04853807,0.002558582,19
Heimerdinger,Mage,0.04629005,-0.04629005,8
Darius,Fighter,0.045859136,-0.032199692,21
Kassadin,Assassin,0.04560142,-0.0073026875,20
Braum,Tank,0.043406926,-0.043406926,9
Taliyah,Mage,0.041652545,0.011985347,35
Riven,Fighter,0.040918477,-0.02734634,40
Viego,Fighter,0.039614048,0.031380836,47
Zoe,Mage,0.03929299,0.03929299,22
Vex,Mage,0.039215703,0.003375358,11
Pyke,Support,0.037611935,0.03258046,28
