MatchFk,blue_p1,blue_p2,blue_p3,blue_p4,blue_p5,red_p1,red_p2,red_p3,red_p4,red_p5,result,rank_fk,rank_name,Patch
EUW1_7568343322,44,81,150,59,123,110,161,147,63,103,1,10,Challenger,15.20.717.2831
EUW1_7568180042,182,29,51,27,4,38,105,150,142,82,0,10,Challenger,15.20.717.2831
EUW1_7568146941,56,179,111,59,20,128,150,51,63,18,0,10,Challenger,15.20.717.2831
EUW1_7568080761,13,81,150,142,4,129,55,49,140,65,0,10,Challenger,15.20.717.2831
EUW1_7568038665,136,186,147,183,65,57,66,129,85,101,1,10,Challenger,15.20.717.2831
EUW1_7567993979,2,169,33,59,154,0,108,7,63,113,1,10,Challenger,15.20.717.2831
EUW1_7567952176,44,29,125,59,86,164,146,127,58,15,0,10,Challenger,15.20.717.2831
EUW1_7567925543,5,100,33,144,23,56,186,2,59,34,0,10,Challenger,15.20.717.2831
EUW1_7567840679,23,55,168,59,104,56,161,79,22,65,1,10,Challenger,15.20.717.2831
EUW1_7567796261,5,150,81,96,103,46,55,24,36,20,0,10,Challenger,15.20.717.2831
EUW1_7567599750,3,185,33,140,122,41,113,87,63,114,1,10,Challenger,15.20.717.2831
EUW1_7567577258,164,179,14,58,15,56,81,68,48,87,0,10,Challenger,15.20.717.2831
EUW1_7567364656,127,73,2,58,167,139,146,111,183,15,1,10,Challenger,15.20.717.2831
EUW1_7567306159,139,55,79,63,122,56,169,2,22,34,1,10,Challenger,15.20.717.2831
EUW1_7567242927,57,81,84,183,20,65,55,150,59,154,0,10,Challenger,15.20.717.2831
EUW1_7567189335,128,55,93,36,103,5,169,190,59,34,0,10,Challenger,15.20.717.2831
EUW1_7567067533,5,73,150,59,40,0,55,188,22,34,0,10,Challenger,15.20.717.2831
EUW1_7567020558,138,151,159,59,115,43,97,171,10,4,1,10,Challenger,15.20.717.2831
EUW1_7566883077,56,81,33,27,15,44,186,159,9,154,1,10,Challenger,15.20.717.2831
EUW1_7566838806,185,170,147,58,65,0,105,167,63,103,1,10,Challenger,15.20.717.2831
EUW1_7571594666,56,81,1,155,82,0,55,13,58,167,1,9,Grandmaster,15.20.719.545
EUW1_7571538198,5,146,67,32,53,182,45,129,77,65,0,9,Grandmaster,15.20.719.545
EUW1_7571502749,51,116,147,163,34,28,66,155,27,15,1,9,Grandmaster,15.20.719.545
EUW1_7571441951,146,45,177,85,101,23,113,150,10,81,1,9,Grandmaster,15.20.719.545
EUW1_7571328469,139,135,49,58,4,98,73,129,27,154,0,9,Grandmaster,15.20.719.545
EUW1_7571278857,38,170,99,66,122,51,29,153,58,4,1,9,Grandmaster,15.20.719.545
EUW1_7571220816,57,186,99,163,65,139,33,190,77,15,0,9,Grandmaster,15.20.719.545
EUW1_7571170154,5,126,147,9,122,23,179,65,96,4,0,9,Grandmaster,15.20.719.545
EUW1_7571120368,153,81,40,63,103,139,116,1,155,86,0,9,Grandmaster,15.20.719.545
EUW1_7571035510,57,29,168,63,103,26,33,27,176,44,1,9,Grandmaster,15.20.719.545
EUW1_7571005600,5,113,93,22,132,168,151,104,176,103,0,9,Grandmaster,15.20.719.545
EUW1_7570961989,112,66,79,9,154,125,179,14,63,152,1,9,Grandmaster,15.20.719.545
EUW1_7570935973,125,81,93,63,20,172,97,180,130,152,0,9,Grandmaster,15.20.719.545
EUW1_7570893524,28,81,33,85,20,88,73,104,176,103,1,9,Grandmaster,15.20.719.545
EUW1_7570494867,5,100,81,63,34,121,186,2,176,118,0,9,Grandmaster,15.20.719.545
EUW1_7570437790,161,113,181,183,65,75,107,165,9,104,1,9,Grandmaster,15.20.719.545
EUW1_7570370774,164,179,1,59,122,56,108,13,77,15,1,9,Grandmaster,15.20.719.545
EUW1_7571444535,162,33,27,63,122,128,56,68,58,104,1,9,Grandmaster,15.20.719.545
EUW1_7571385615,0,105,93,140,103,61,33,159,63,118,0,9,Grandmaster,15.20.719.545
EUW1_7571338946,28,55,147,183,152,56,100,1,139,132,1,9,Grandmaster,15.20.719.545
EUW1_7571246285,51,116,49,58,115,119,97,93,96,143,0,9,Grandmaster,15.20.719.545
