gameid,league,patch,blue_p1,blue_p2,blue_p3,blue_p4,blue_p5,result,red_p1,red_p2,red_p3,red_p4,red_p5
LOLTMNT03_179647,LFL2,15.01,90,59,82,49,43,0,163,52,20,125,111
LOLTMNT06_96134,LFL2,15.01,163,60,52,14,122,1,27,131,125,111,103
LOLTMNT06_95160,LFL2,15.01,27,141,4,13,0,0,163,122,70,150,46
LOLTMNT03_178705,LFL2,15.01,171,141,36,103,57,0,175,163,1,118,60
11715-11715_game_1,LPL,15.01,10,13,20,60,170,1,163,107,111,104,43
11715-11715_game_2,LPL,15.01,128,122,58,90,5,0,57,95,175,118,171
LOLTMNT06_96169,LFL2,15.01,141,10,111,112,118,1,175,163,78,125,122
11715-11715_game_3,LPL,15.01,82,191,181,188,0,0,56,131,59,114,146
LOLTMNT06_95187,LFL2,15.01,163,90,111,122,178,1,10,131,49,60,94
LOLTMNT06_96178,LFL2,15.01,13,27,42,169,122,1,175,60,111,187,4
LOLTMNT06_96180,LFL2,15.01,27,60,122,66,140,1,163,169,1,5,4
LOLTMNT03_180614,LCKC,15.01,27,60,90,58,82,0,57,131,150,22,20
LOLTMNT03_180626,LCKC,15.01,171,175,36,122,125,1,163,169,2,118,43
LOLTMNT03_180652,LCKC,15.01,27,90,82,52,155,0,171,60,163,170,122
LOLTMNT03_180657,LCKC,15.01,128,14,175,95,4,0,13,169,62,23,103
11716-11716_game_1,LPL,15.01,64,104,60,113,172,1,128,169,13,36,82
LOLTMNT03_180680,LCKC,15.01,13,36,57,169,118,0,163,14,170,56,122
11716-11716_game_2,LPL,15.01,175,2,118,43,62,1,27,122,150,125,80
LOLTMNT03_181730,LCKC,15.01,60,2,175,142,90,0,181,131,128,114,62
11716-11716_game_3,LPL,15.01,10,20,181,173,56,0,171,178,163,65,44
LOLTMNT03_181763,LCKC,15.01,27,10,80,20,112,0,64,178,150,44,152
11716-11716_game_4,LPL,15.01,5,146,131,86,160,0,114,14,170,59,18
LOLTMNT03_182166,LCKC,15.01,27,191,163,103,44,0,10,14,170,112,122
LOLTMNT03_182173,LCKC,15.01,64,169,13,82,23,1,22,104,5,111,175
11717-11717_game_1,LPL,15.01,10,20,170,56,111,0,104,60,64,13,169
11717-11717_game_2,LPL,15.01,163,5,103,2,80,1,57,95,175,146,118
LOLTMNT03_183141,LCKC,15.01,141,14,5,27,124,1,60,13,107,118,9
11717-11717_game_3,LPL,15.01,43,122,59,131,150,0,178,125,1,9,154
LOLTMNT03_183156,LCKC,15.01,36,56,131,2,82,0,128,169,58,114,40
11717-11717_game_4,LPL,15.01,27,82,105,161,140,0,181,66,4,155,0
LOLTMNT03_182386,LVP SL,15.01,175,36,111,128,4,1,163,131,60,122,49
LOLTMNT03_182440,LVP SL,15.01,141,36,44,181,114,1,169,163,1,5,118
LOLTMNT03_183380,LVP SL,15.01,141,27,111,5,103,0,163,112,147,80,152
LOLTMNT03_182503,LVP SL,15.01,27,52,188,43,103,0,163,141,122,147,57
LOLTMNT03_182532,LVP SL,15.01,171,107,36,118,5,1,163,175,14,82,60
LOLTMNT03_183532,LCK,15.01,141,60,181,95,122,1,171,27,131,82,57
LOLTMNT03_183538,LCK,15.01,13,175,62,40,114,1,128,170,150,118,176
11718-11718_game_1,LPL,15.01,10,20,60,175,2,0,13,169,163,122,5
LOLTMNT03_183544,LCK,15.01,163,103,125,19,180,0,178,124,64,44,5
11718-11718_game_2,LPL,15.01,64,40,104,146,170,1,128,171,95,103,80
11718-11718_game_3,LPL,15.01,27,118,56,113,1,1,178,82,44,36,150
LOLTMNT03_183585,LCK,15.01,64,5,124,2,175,1,181,131,188,57,4
11718-11718_game_4,LPL,15.01,111,74,176,161,15,0,59,107,147,18,43
LOLTMNT03_182705,LCK,15.01,60,171,178,176,118,1,107,13,111,62,122
LOLTMNT03_182729,LCK,15.01,10,56,20,52,142,1,27,105,36,139,18
LOLTMNT06_95254,NLC,15.01,27,40,54,25,122,1,163,169,171,60,4
LOLTMNT03_183723,LVP SL,15.01,171,60,36,175,82,0,163,90,169,150,20
LOLTMNT03_183750,LVP SL,15.01,27,128,122,14,107,0,163,175,111,118,40
LOLTMNT06_96247,NLC,15.01,171,175,36,20,60,0,163,169,177,57,65
LOLTMNT03_183778,LVP SL,15.01,64,124,131,128,181,1,10,90,133,107,2
LOLTMNT06_96258,NLC,15.01,175,60,176,103,129,0,40,36,114,170,4
LOLTMNT03_182901,LVP SL,15.01,163,60,111,124,175,0,27,107,23,146,118
LOLTMNT06_96262,NLC,15.01,13,131,181,95,103,0,10,169,24,43,20
LOLTMNT03_183815,LVP SL,15.01,90,122,95,147,170,1,163,52,20,128,36
LOLTMNT06_96264,NLC,15.01,64,128,169,103,13,1,36,60,173,122,129
LOLTMNT03_184010,LCKC,15.01,169,5,150,27,103,1,128,178,163,181,122
LOLTMNT03_184011,LCKC,15.01,163,169,128,1,122,1,57,131,36,27,20
LOLTMNT03_184009,LCKC,15.01,14,64,131,82,56,1,128,181,169,163,20
LOLTMNT03_183923,LCKC,15.01,171,170,125,95,82,0,60,107,111,62,118
LOLTMNT03_183925,LCKC,15.01,10,90,14,170,124,0,58,60,146,178,115
LOLTMNT03_184034,LCKC,15.01,13,60,36,80,122,0,111,178,5,27,118
LOLTMNT03_184086,LCK,15.01,128,27,90,62,82,0,10,181,191,125,20
LOLTMNT03_183991,LCK,15.01,60,175,150,187,122,1,178,22,57,171,114
11719-11719_game_1,LPL,15.01,163,60,13,80,122,0,57,27,2,175,118
LOLTMNT03_184105,LCK,15.01,131,56,14,59,86,1,5,118,176,2,54
11719-11719_game_2,LPL,15.01,181,131,161,59,20,0,95,146,178,5,15
LOLTMNT03_185025,LCK,15.01,105,36,82,5,57,1,10,191,181,122,44
11719-11719_game_3,LPL,15.01,128,1,170,176,82,0,40,107,78,62,4
LOLTMNT03_185042,LCK,15.01,60,163,124,171,178,1,128,175,27,118,177
LOLTMNT03_185067,LCK,15.01,169,1,59,139,20,1,114,14,56,58,15
LOLTMNT03_184314,LVP SL,15.01,163,175,60,87,103,0,64,141,171,43,82
LOLTMNT06_95284,NLC,15.01,175,122,36,111,112,0,171,170,176,20,38
LOLTMNT03_184350,LVP SL,15.01,27,131,146,118,60,0,10,171,114,56,103
LOLTMNT06_95291,NLC,15.01,60,36,54,82,49,0,128,163,170,122,111
LOLTMNT03_184375,LVP SL,15.01,27,178,111,4,128,0,171,60,163,122,56
LOLTMNT06_95294,NLC,15.01,141,32,171,103,43,1,90,59,49,175,82
LOLTMNT06_95295,NLC,15.01,27,6,111,43,82,0,163,175,60,49,20
LOLTMNT03_184416,LVP SL,15.01,163,107,111,5,4,1,95,169,122,14,43
LOLTMNT03_185307,LVP SL,15.01,27,141,5,1,103,0,139,122,181,19,176
LOLTMNT06_95297,NLC,15.01,27,14,125,54,103,0,163,60,169,147,20
LOLTMNT03_184504,LCKC,15.01,27,191,125,24,103,1,107,13,118,36,57
LOLTMNT03_185405,LCKC,15.01,128,169,181,36,82,1,5,131,14,27,122
LOLTMNT03_184518,LCKC,15.01,163,111,178,103,90,0,171,175,56,62,152
LOLTMNT03_184519,LCKC,15.01,10,171,170,20,90,1,56,131,58,14,122
LOLTMNT03_185467,LCK,15.01,10,105,82,125,49,1,27,191,22,5,15
LOLTMNT03_184583,LCK,15.01,169,13,118,155,112,0,57,178,40,59,86
11720-11720_game_1,LPL,15.01,128,171,163,122,170,0,27,191,60,95,4
11720-11720_game_2,LPL,15.01,13,5,178,114,176,0,57,169,36,82,172
LOLTMNT03_184622,LCK,15.01,64,131,128,34,142,1,5,124,13,163,107
LOLTMNT03_185513,LCP,15.01,163,131,181,103,56,0,57,191,95,118,125
11720-11720_game_3,LPL,15.01,10,80,20,41,150,0,175,58,118,43,145
LOLTMNT03_184660,LCK,15.01,27,191,82,56,36,0,90,14,10,122,41
LOLTMNT03_185549,LCP,15.01,60,178,171,62,4,1,36,114,111,80,5
