MatchFk,blue_p1,blue_p2,blue_p3,blue_p4,blue_p5,red_p1,red_p2,red_p3,red_p4,red_p5,result,rank_fk,rank_name,Patch
EUW1_7565751492,61,185,180,22,94,23,179,99,187,118,0,7,Diamond,15.20.717.2831
EUW1_7565549583,98,186,180,85,82,162,169,84,27,94,1,7,Diamond,15.20.717.2831
EUW1_7564803077,112,35,159,176,132,157,81,67,142,144,0,7,Diamond,15.20.717.2831
EUW1_7564257986,42,33,99,9,123,69,81,40,132,94,1,7,Diamond,15.20.717.2831
EUW1_7563685543,24,92,43,36,20,117,33,177,32,101,1,7,Diamond,15.20.717.2831
EUW1_7563605642,153,137,67,140,94,112,146,99,58,18,1,7,Diamond,15.20.717.2831
EUW1_7556939547,42,55,147,183,144,26,170,163,49,65,0,7,Diamond,15.19.715.1836
EUW1_7556673814,182,21,111,85,122,56,31,3,12,101,0,7,Diamond,15.19.715.1836
EUW1_7555467853,0,156,171,87,167,38,29,147,10,94,0,7,Diamond,15.19.715.1836
EUW1_7548453301,153,73,3,36,133,180,21,93,63,115,1,7,Diamond,15.19.715.1836
EUW1_7553283098,172,70,186,22,99,139,35,69,140,177,1,5,Platinum,15.19.715.1836
EUW1_7553208120,31,21,190,164,87,42,70,84,63,104,0,5,Platinum,15.19.715.1836
EUW1_7553133991,5,45,79,77,99,51,55,186,22,65,1,5,Platinum,15.19.715.1836
EUW1_7553062055,0,34,93,183,115,139,29,147,36,82,0,5,Platinum,15.19.715.1836
EUW1_7552972344,102,70,147,58,65,162,29,180,176,154,1,5,Platinum,15.19.715.1836
EUW1_7552908528,56,126,129,59,101,98,170,116,63,115,1,5,Platinum,15.19.715.1836
EUW1_7528258171,38,186,129,96,99,117,97,3,155,65,0,5,Platinum,15.18.710.2811
EUW1_7528230243,181,185,146,164,53,41,47,159,9,161,1,5,Platinum,15.18.710.2811
EUW1_7528202413,56,113,89,10,99,125,170,111,36,53,0,5,Platinum,15.18.710.2811
EUW1_7522738832,179,116,165,63,114,43,174,1,58,82,0,5,Platinum,15.17.708.5788
EUW1_7522700708,157,173,46,183,136,112,33,180,10,94,0,5,Platinum,15.17.708.5788
EUW1_7521695265,117,170,13,140,99,191,173,186,160,113,0,5,Platinum,15.17.708.5788
EUW1_7521649441,138,73,39,19,101,153,170,33,63,65,0,5,Platinum,15.17.708.5788
EUW1_7519382234,102,191,177,96,115,50,107,67,183,94,1,5,Platinum,15.17.708.5788
EUW1_7519266266,46,55,79,59,103,31,126,87,96,88,1,5,Platinum,15.17.708.5788
EUW1_7519236498,56,131,147,9,53,98,107,168,58,15,0,5,Platinum,15.17.708.5788
EUW1_7519171921,186,108,181,22,87,112,146,49,142,154,0,5,Platinum,15.17.708.5788
EUW1_7517734506,57,103,191,155,144,28,113,168,63,20,1,5,Platinum,15.17.708.5788
EUW1_7517661409,31,116,145,63,3,5,55,66,22,94,0,5,Platinum,15.17.708.5788
EUW1_7516496211,37,97,1,187,15,12,114,7,27,132,0,5,Platinum,15.17.708.5788
EUW1_7534632450,128,55,68,22,136,42,153,171,160,154,1,6,Emerald,15.18.710.2811
EUW1_7532464744,134,110,179,96,82,156,83,180,160,99,1,6,Emerald,15.18.710.2811
EUW1_7530522516,125,173,40,22,144,97,151,13,160,87,1,6,Emerald,15.18.710.2811
EUW1_7530486753,0,92,89,63,144,104,161,181,59,118,0,6,Emerald,15.18.710.2811
EUW1_7530438965,162,19,181,180,143,26,116,2,22,87,1,6,Emerald,15.18.710.2811
EUW1_7530287278,146,37,87,106,103,69,55,186,160,86,1,6,Emerald,15.18.710.2811
EUW1_7530259235,98,70,146,160,149,157,74,33,36,40,0,6,Emerald,15.18.710.2811
EUW1_7530246697,0,31,181,160,144,102,70,13,77,189,0,6,Emerald,15.18.710.2811
EUW1_7529652378,134,70,190,22,189,117,146,8,160,177,1,6,Emerald,15.18.710.2811
EUW1_7528993067,21,170,165,164,154,162,6,180,160,99,1,6,Emerald,15.18.710.2811
EUW1_7528946913,57,29,190,180,160,88,179,2,59,34,0,6,Emerald,15.18.710.2811
EUW1_7528874728,134,173,79,132,115,69,70,111,160,191,0,6,Emerald,15.18.710.2811
EUW1_7528813189,114,108,142,59,86,98,55,68,160,101,0,6,Emerald,15.18.710.2811
EUW1_7528699553,102,55,79,36,135,56,156,2,160,149,1,6,Emerald,15.18.710.2811
EUW1_7526339829,31,100,84,160,87,162,33,167,27,122,1,6,Emerald,15.18.710.2811
EUW1_7526309545,157,151,67,63,10,56,185,71,59,122,0,6,Emerald,15.18.710.2811
EUW1_7526277114,46,174,181,49,122,28,173,87,164,94,0,6,Emerald,15.18.710.2811
EUW1_7525391659,117,169,68,160,167,23,81,67,155,86,0,6,Emerald,15.18.710.2811
EUW1_7525344251,98,17,85,59,113,42,81,67,160,184,0,6,Emerald,15.18.710.2811
EUW1_7497430560,112,92,40,64,123,5,6,89,187,135,0,6,Emerald,15.16.704.6097
EUW1_7497400496,139,83,111,164,65,5,102,40,63,154,1,6,Emerald,15.16.704.6097
EUW1_7497364016,46,17,111,85,65,139,92,147,142,34,1,6,Emerald,15.16.704.6097
EUW1_7484350827,69,97,180,63,82,102,55,183,188,115,1,6,Emerald,15.15.701.6241
EUW1_7484247393,71,156,146,22,87,98,174,0,9,94,1,6,Emerald,15.15.701.6241
EUW1_7484228486,57,151,67,59,189,0,156,12,164,65,0,6,Emerald,15.15.699.7589
EUW1_7484212989,0,107,71,77,101,57,97,172,22,86,1,6,Emerald,15.15.699.7589
EUW1_7484204369,184,81,101,96,53,0,173,87,10,103,0,6,Emerald,15.15.699.7589
EUW1_7484181885,180,170,42,87,103,0,108,51,63,115,1,6,Emerald,15.15.699.7589
EUW1_7484119352,138,55,19,9,143,0,126,68,130,118,0,6,Emerald,15.15.699.7589
EUW1_7483607136,23,29,146,183,53,0,105,1,160,82,0,6,Emerald,15.15.699.7589
EUW1_7483564664,0,170,147,85,115,43,97,67,63,101,1,6,Emerald,15.15.699.7589
EUW1_7362590896,113,92,1,160,86,127,186,89,85,184,0,6,Emerald,15.7.670.3172
EUW1_7362562749,114,160,128,58,94,127,6,69,77,86,0,6,Emerald,15.7.670.3172
